edate,countryname,partyname,partyabbrev,total,voteper,uncoded,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,eyear,label
1958-06-01,Sweden,Right Party,NA,130,19.518,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,64,0,0,0,0,0,11,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,NA:1958
1958-06-01,Sweden,Centre Party,CP,126,12.662,NA,0,0,0,1,0,1,2,0,0,0,0,0,0,0,9,0,1,0,0,9,15,2,0,0,1,0,0,5,1,3,0,0,8,0,0,0,2,2,19,4,2,0,0,0,4,0,1,0,1,0,0,0,18,0,0,5,1958,CP:1958
1960-09-18,Sweden,Communist Party of Sweden,SKP,84,4.479,NA,0,0,0,0,8,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,1,0,2,1,5,0,0,0,0,2,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1960,SKP:1960
1960-09-18,Sweden,Social Democratic Labour Party,SAP,389,47.789,NA,0,0,0,1,0,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,3,0,2,0,5,0,2,0,0,0,1,9,171,0,43,0,0,0,0,0,0,0,6,0,0,0,0,0,0,28,1960,SAP:1960
1960-09-18,Sweden,People’s Party,FP,46,17.492,NA,0,1,0,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,3,5,0,3,0,0,0,3,0,1,0,2,0,0,0,0,0,0,2,1960,FP:1960
1960-09-18,Sweden,Right Party,NA,354,16.557,NA,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,4,4,7,1,0,0,0,4,0,1,0,0,0,0,0,49,0,0,2,1960,NA:1960
1960-09-18,Sweden,Centre Party,CP,151,13.611,NA,0,0,0,1,0,3,1,0,0,0,4,1,2,1,6,0,8,0,0,9,9,1,0,0,4,1,0,0,4,2,0,0,18,0,0,0,3,2,29,2,8,0,0,0,6,0,4,0,1,0,0,0,9,0,0,5,1960,CP:1960
1964-09-20,Sweden,Communist Party of Sweden,SKP,61,5.223,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,3,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,SKP:1964
1964-09-20,Sweden,Social Democratic Labour Party,SAP,1255,47.269,NA,0,0,11,0,0,0,0,28,0,0,6,0,0,0,0,0,3,0,0,0,10,16,3,0,0,3,14,3,23,8,3,0,1,0,0,0,4,90,290,0,137,0,0,0,0,0,0,24,5,0,6,0,0,0,0,18,1964,SAP:1964
1964-09-20,Sweden,People’s Party,FP,336,16.975,NA,0,0,0,0,0,0,72,0,0,0,6,33,0,0,0,0,0,2,0,3,2,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,18,36,55,0,15,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,1964,FP:1964
1964-09-20,Sweden,Right Party,NA,53,13.722,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,NA:1964
1964-09-20,Sweden,Centre Party,CP,235,13.181,28,0,0,0,1,0,1,1,0,0,0,3,4,0,0,6,0,8,0,0,13,17,0,0,0,0,0,0,0,10,5,0,0,9,0,0,11,8,2,53,0,24,0,0,0,4,0,3,0,0,0,0,0,17,2,0,5,1964,CP:1964
1968-09-15,Sweden,Left Communists Party,VPK,206,3.006,NA,1,0,17,0,2,0,13,0,0,1,3,17,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,4,0,11,10,0,0,0,3,0,25,11,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,2,2,1968,VPK:1968
1968-09-15,Sweden,Social Democratic Labour Party,SAP,56,50.116,NA,0,0,0,1,2,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,7,11,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1968,SAP:1968
1968-09-15,Sweden,People’s Party,FP,97,14.256,NA,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,1,0,0,3,0,4,1,0,0,1,0,0,0,0,1,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1968,FP:1968
1968-09-15,Sweden,Right Party,NA,244,12.859,NA,6,0,0,0,0,1,0,2,0,0,4,8,0,0,0,0,0,0,0,13,26,3,0,0,0,0,4,0,3,0,0,0,23,0,0,0,0,7,8,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,4,1968,NA:1968
1968-09-15,Sweden,Centre Party,CP,645,15.679,NA,5,0,0,1,0,7,29,1,0,0,2,10,0,2,39,0,2,0,0,18,45,12,26,4,0,7,18,10,25,12,0,0,8,0,0,27,12,36,68,2,51,0,0,0,19,0,26,0,16,0,0,0,30,0,5,39,1968,CP:1968
1970-09-20,Sweden,Left Communists Party,VPK,78,4.756,NA,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,3,0,12,3,0,0,0,9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1970,VPK:1970
1970-09-20,Sweden,Social Democratic Labour Party,SAP,197,45.343,NA,1,0,0,0,0,8,9,1,0,0,0,10,0,0,11,0,0,0,0,0,2,16,2,1,0,1,5,3,8,1,2,0,3,0,0,14,1,33,27,0,8,0,0,0,0,0,0,0,2,0,5,0,1,2,0,6,1970,SAP:1970
1970-09-20,Sweden,People’s Party,FP,123,16.211,NA,0,0,0,0,0,4,3,0,0,0,1,13,0,2,2,0,1,0,0,1,2,7,4,1,0,0,2,1,3,1,0,0,2,0,0,11,0,11,18,0,4,0,0,0,2,0,4,0,0,0,0,2,0,0,1,6,1970,FP:1970
1970-09-20,Sweden,Moderate Coalition Party,MSP,47,11.531,NA,0,0,0,0,0,0,0,0,0,0,4,6,0,0,1,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,3,5,0,3,0,0,0,4,0,2,2,0,0,0,0,1,0,0,2,1970,MSP:1970
1970-09-20,Sweden,Centre Party,CP,96,19.919,NA,2,0,0,0,0,2,2,1,0,0,0,6,0,0,13,0,1,0,0,3,11,5,4,0,0,0,0,0,4,0,1,0,2,0,0,5,0,6,14,0,1,0,0,0,3,0,2,0,0,0,0,0,4,0,0,2,1970,CP:1970
1973-09-16,Sweden,Left Communists Party,VPK,123,5.328,NA,1,0,0,0,2,0,7,0,0,3,3,8,0,3,1,1,0,0,0,1,1,10,1,0,1,0,2,0,2,3,4,5,0,0,0,12,0,3,10,0,7,0,0,0,0,0,2,0,4,0,4,0,0,0,1,2,1973,VPK:1973
1973-09-16,Sweden,Social Democratic Labour Party,SAP,41,43.559,NA,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1973,SAP:1973
1973-09-16,Sweden,People’s Party,FP,149,9.419,NA,0,0,0,0,0,0,3,0,0,0,7,13,1,2,10,1,0,0,0,6,2,7,2,2,0,0,5,3,3,5,0,0,6,0,0,18,0,9,11,0,7,0,0,0,2,0,2,0,2,0,0,0,0,0,1,2,1973,FP:1973
1973-09-16,Sweden,Moderate Coalition Party,MSP,76,14.294,NA,0,0,0,1,0,2,0,0,0,0,2,2,0,1,2,0,0,0,0,9,6,0,0,0,0,0,1,0,1,0,0,0,3,0,0,5,0,8,8,0,7,0,0,0,5,0,6,2,1,0,0,0,1,0,0,1,1973,MSP:1973
1973-09-16,Sweden,Centre Party,CP,167,25.101,NA,1,0,0,1,0,2,2,0,0,0,1,13,1,2,24,0,0,0,0,0,7,13,3,0,0,0,8,7,0,3,0,0,2,0,0,12,1,9,21,0,8,0,0,0,8,0,2,0,4,0,0,0,6,0,0,7,1973,CP:1973
1976-09-19,Sweden,Left Communists Party,VPK,185,4.753,NA,0,0,0,0,5,12,3,0,0,0,2,5,1,0,0,1,0,0,0,0,3,25,1,0,1,0,5,0,1,2,10,9,0,0,0,22,3,20,5,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,5,10,1976,VPK:1976
1976-09-19,Sweden,Social Democratic Labour Party,SAP,70,42.749,NA,0,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,3,3,0,0,7,0,0,3,0,4,7,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1976,SAP:1976
1976-09-19,Sweden,People’s Party,FP,143,11.063,NA,0,0,0,0,0,1,4,0,0,0,10,11,2,0,8,0,1,0,0,3,3,9,0,0,0,1,1,5,2,3,0,0,5,0,0,16,6,5,0,0,0,0,0,0,2,0,0,0,6,0,4,0,0,0,0,27,1976,FP:1976
1976-09-19,Sweden,Moderate Coalition Party,MSP,103,15.589,NA,0,0,0,1,0,2,0,0,0,0,11,8,0,1,1,0,1,0,0,9,5,2,0,0,0,0,3,0,3,0,0,0,4,0,0,1,5,3,13,0,9,0,0,0,1,0,5,0,1,0,0,0,2,0,0,4,1976,MSP:1976
1976-09-19,Sweden,Centre Party,CP,296,24.085,NA,1,0,0,1,0,4,3,0,0,0,6,9,0,0,45,0,2,0,0,2,13,11,3,0,0,0,7,0,4,0,3,0,2,0,0,51,2,15,52,0,10,0,0,0,13,0,6,0,4,0,2,0,13,0,2,2,1976,CP:1976
1979-09-16,Sweden,Left Communists Party,VPK,243,5.605,NA,0,0,0,0,3,9,12,0,0,0,0,16,3,0,0,1,2,0,0,0,0,12,1,0,1,0,13,0,4,3,25,10,0,0,0,18,2,35,25,0,4,0,0,0,4,0,2,0,0,0,6,0,0,0,4,10,1979,VPK:1979
1979-09-16,Sweden,Social Democratic Labour Party,SAP,151,43.244,NA,0,0,0,0,0,7,6,0,0,0,0,5,0,0,2,0,0,0,0,0,1,6,0,0,0,0,9,0,6,1,1,0,15,0,0,11,0,11,23,0,4,0,0,0,2,0,3,8,1,0,0,0,0,0,2,5,1979,SAP:1979
1979-09-16,Sweden,People’s Party,FP,462,10.591,NA,1,0,0,0,0,4,17,1,0,0,7,9,1,0,8,1,17,0,0,6,7,8,0,2,0,6,21,24,14,1,2,0,8,0,0,58,4,35,58,0,26,0,0,0,14,0,5,0,10,0,0,0,0,0,15,22,1979,FP:1979
1979-09-16,Sweden,Moderate Coalition Party,MSP,127,20.343,NA,1,0,0,1,0,0,1,1,0,0,13,2,0,1,0,2,3,0,0,13,11,0,0,0,0,0,4,0,1,0,0,0,6,0,0,16,6,6,9,0,9,0,0,0,2,0,4,0,1,0,0,0,1,0,0,2,1979,MSP:1979
1979-09-16,Sweden,Centre Party,CP,280,18.07,NA,1,0,0,1,0,5,10,0,0,0,5,8,0,0,18,0,0,0,0,3,15,5,4,0,0,0,5,0,6,7,0,0,2,0,0,40,9,13,22,0,20,0,0,0,19,0,5,1,8,0,0,0,28,0,5,9,1979,CP:1979
1982-09-19,Sweden,Left Communists Party,VPK,207,5.561,NA,1,0,0,0,8,17,4,0,0,0,1,6,0,6,0,1,0,0,0,0,0,11,0,0,3,0,9,0,3,3,14,3,0,0,0,22,0,28,21,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,1,6,1982,VPK:1982
1982-09-19,Sweden,Social Democratic Labour Party,SAP,124,45.606,NA,0,3,0,0,0,8,3,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,3,0,5,0,0,16,0,9,15,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1982,SAP:1982
1982-09-19,Sweden,People’s Party,FP,123,5.901,NA,0,0,0,0,0,5,5,0,0,0,13,8,0,0,4,0,1,0,0,8,3,0,0,0,0,1,2,0,3,0,0,0,9,0,0,3,2,16,11,1,4,0,0,0,4,0,1,0,5,0,1,3,0,0,0,0,1982,FP:1982
1982-09-19,Sweden,Moderate Coalition Party,MSP,140,23.644,NA,1,2,0,4,0,3,2,1,0,0,8,3,0,2,0,1,9,0,0,16,8,0,0,0,0,0,3,0,1,0,0,0,17,0,0,5,4,1,10,5,11,0,0,0,1,0,5,0,1,0,0,0,3,0,0,2,1982,MSP:1982
1982-09-19,Sweden,Centre Party,CP,339,15.476,NA,5,0,0,3,0,15,11,1,0,0,2,3,0,0,24,0,5,0,0,8,18,3,4,1,1,0,13,0,13,10,0,0,10,0,0,49,3,8,36,0,34,0,0,0,11,0,7,0,5,0,0,0,22,0,1,1,1982,CP:1982
1985-09-15,Sweden,Left Communists Party,VPK,236,5.36,65,0,0,0,0,2,10,7,0,0,0,0,9,0,0,3,0,0,0,0,0,0,26,2,0,0,0,2,0,3,2,2,12,3,0,0,31,1,32,13,0,6,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1985,VPK:1985
1985-09-15,Sweden,Social Democratic Labour Party,SAP,81,44.684,24,0,0,0,1,0,3,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,5,3,0,0,7,0,0,8,2,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,SAP:1985
1985-09-15,Sweden,People’s Party,FP,201,14.231,38,0,0,0,3,0,6,12,0,0,0,11,0,0,0,2,0,0,0,0,26,13,0,0,0,0,0,0,0,1,0,0,0,24,0,0,13,8,7,27,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1985,FP:1985
1985-09-15,Sweden,Christian Democratic Coalition,KDS,44,0.28,2,0,0,0,0,0,1,4,1,0,0,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,2,3,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,1985,KDS:1985
1985-09-15,Sweden,Moderate Coalition Party,MSP,104,21.328,1,0,0,0,3,0,2,1,1,0,0,6,2,0,0,4,0,0,0,0,22,16,0,0,0,0,0,1,0,0,0,0,0,10,0,0,5,2,0,3,1,4,0,0,0,10,0,6,0,0,0,0,0,4,0,0,0,1985,MSP:1985
1985-09-15,Sweden,Centre Party,CP,168,12.13,10,1,0,0,0,0,3,3,0,0,0,5,0,0,0,20,0,1,0,3,5,4,0,0,0,0,0,0,0,10,5,0,0,16,0,0,26,2,5,25,0,12,0,2,0,3,0,2,1,0,0,0,0,4,0,0,0,1985,CP:1985
1988-09-18,Sweden,Green Ecology Party,MP,71,5.526,23,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,MP:1988
1988-09-18,Sweden,Left Communists Party,VPK,229,5.844,54,0,0,0,0,2,12,18,0,0,5,0,3,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,2,3,4,1,3,0,0,28,15,14,23,0,5,0,0,0,0,0,3,0,0,0,11,0,0,0,0,8,1988,VPK:1988
1988-09-18,Sweden,Social Democratic Labour Party,SAP,63,43.207,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,10,6,10,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,SAP:1988
1988-09-18,Sweden,People’s Party,FP,299,12.202,48,0,0,0,0,0,0,48,2,0,0,13,0,0,0,13,0,0,0,0,26,22,0,0,0,0,0,0,0,6,8,0,0,6,0,0,29,17,3,36,0,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1988,FP:1988
1988-09-18,Sweden,Moderate Coalition Party,MSP,183,18.297,45,0,0,0,7,0,1,6,9,0,0,9,1,0,0,0,4,0,0,0,11,15,0,0,0,0,0,1,0,1,1,0,0,15,0,0,15,3,0,3,0,4,0,2,0,6,0,17,0,0,0,0,0,5,0,0,2,1988,MSP:1988
1988-09-18,Sweden,Centre Party,CP,96,11.3,10,0,0,0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,25,5,9,6,0,12,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1988,CP:1988
1991-09-15,Sweden,Green Ecology Party,MP,87,3.383,11,1,0,0,0,4,1,4,0,0,8,7,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,33,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1991,MP:1991
1991-09-15,Sweden,Left Party,V,138,4.513,14,0,0,3,0,2,1,14,2,0,4,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,0,1,0,0,0,22,2,11,13,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,3,14,1991,V:1991
1991-09-15,Sweden,Social Democratic Labour Party,SAP,130,37.705,28,0,0,0,0,0,0,8,4,0,0,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,4,5,0,0,7,0,0,15,0,20,6,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,3,6,1991,SAP:1991
1991-09-15,Sweden,Liberal People’s Party,FP,280,9.128,62,0,0,0,0,0,0,15,21,0,0,38,18,0,0,0,0,0,0,0,15,9,1,0,0,0,0,3,0,4,2,0,0,1,0,0,12,1,22,7,0,7,0,1,0,0,0,0,0,0,0,5,0,0,0,4,32,1991,FP:1991
1991-09-15,Sweden,Christian Democratic Community Party,KdS,44,7.135,2,0,0,0,0,0,1,4,1,0,0,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,2,3,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,1991,KdS:1991
1991-09-15,Sweden,Moderate Coalition Party,MSP,192,21.924,11,1,0,0,6,0,0,2,15,0,0,15,2,0,0,0,0,6,0,0,15,18,0,0,0,0,0,0,0,0,0,0,0,29,0,0,7,3,5,4,0,16,0,5,0,4,0,16,0,0,0,0,0,6,0,2,4,1991,MSP:1991
1991-09-15,Sweden,Centre Party,CP,129,8.503,9,0,0,0,0,0,1,2,1,0,0,3,5,0,0,4,0,0,0,1,1,8,0,0,0,0,0,1,0,6,10,0,0,3,0,0,29,2,15,8,0,3,0,2,0,1,0,8,0,0,0,1,0,1,0,1,3,1991,CP:1991
1991-09-15,Sweden,New Democracy,NyD,278,6.732,16,16,0,0,4,0,1,2,6,0,0,25,12,3,0,3,0,30,0,0,9,15,5,0,0,0,0,0,0,0,14,0,0,54,0,0,10,0,7,1,0,7,0,2,0,17,0,18,0,0,0,0,0,0,0,0,1,1991,NyD:1991
1994-09-18,Sweden,Green Ecology Party,MP,80,5.023,6,0,0,0,0,2,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,0,0,10,0,0,27,0,13,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994,MP:1994
1994-09-18,Sweden,Left Party,V,176,6.174,17,0,0,0,0,0,0,7,0,0,9,1,12,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,2,15,1,0,0,5,0,0,23,4,37,10,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,1994,V:1994
1994-09-18,Sweden,Social Democratic Labour Party,SAP,206,45.25,18,0,0,0,0,0,0,13,7,0,0,3,3,0,0,0,0,0,0,7,4,3,0,0,0,0,0,8,0,25,15,0,0,36,0,0,4,0,23,1,0,4,0,1,0,2,0,2,15,0,0,3,0,0,0,1,8,1994,SAP:1994
